"ID","OPPORTUNITY NAME","EXPLORER","OPPORTUNITY RECORD TYPE","CLOSE DATE","STAGE","PROBABILITY (%)","QUANTITY","SALES PRICE","PRODUCT CODE","STATUS"
"0062w000007otAkAAI","Doug Hart - Machu Picchu - 2026","Doug Hart","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAlAAI","Jason Brennaman - Machu Picchu - 2026","Jason Brennaman","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAmAAI","Al Miller - Machu Picchu - 2026","Al Miller","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAnAAI","Andy Peterson - Machu Picchu - 2026","Andy Peterson","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAoAAI","Anne Frost - Machu Picchu - 2026","Anne Frost","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otApAAI","Stacy McNeil - Machu Picchu - 2026","Stacy McNeil","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAqAAI","Robert Simpson - Machu Picchu - 2026","Robert Simpson","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otArAAI","Gabe Hotkins - Half Dome - 2026","Gabe Hotkins","Individual Opportunity","01/04/2026","New","10","1","400","HDH","Item Created"
"0062w000007otAsAAI","Lance Gonzales - Half Dome - 2026","Lance Gonzales","Individual Opportunity","01/04/2026","New","10","1","400","HDH","Item Created"
"0062w000007otAtAAI","Steve Sutherland - Half Dome - 2026","Steve Sutherland","Individual Opportunity","01/04/2026","New","10","1","400","HDH","Item Created"
"0062w000007otAuAAI","Heath Axworth - Half Dome - 2026","Heath Axworth","Individual Opportunity","01/04/2026","New","10","1","400","HDH","Item Created"
"0062w000007otAvAAI","Mina Passini - Half Dome - 2026","Mina Passini","Individual Opportunity","01/04/2026","New","10","1","400","HDH","Item Created"
"0062w000007otAwAAI","Duncan Macintosh - Half Dome - 2026","Duncan Macintosh","Individual Opportunity","01/04/2026","New","10","1","400","HDH","Item Created"
"0062w000007otAxAAI","Daryl Distributor - Half Dome - 2026","Daryl Distributor","Individual Opportunity","01/04/2026","New","10","1","400","HDH","Item Created"
"0062w000007otAyAAI","David Adelson - Half Dome - 2026","David Adelson","Individual Opportunity","01/04/2026","New","10","1","400","HDH","Item Created"
"0062w000007otAzAAI","Mark Smith - Half Dome - 2026","Mark Smith","Individual Opportunity","01/04/2026","New","10","1","400","HDH","Item Created"
"0062w000007otB0AAI","Mike Garcia - Half Dome - 2026","Mike Garcia","Individual Opportunity","01/04/2026","New","10","1","400","HDH","Item Created"
"0062w000007otB1AAI","Deanna Collins - Half Dome - 2026","Deanna Collins","Individual Opportunity","01/04/2026","New","10","1","400","HDH","Item Created"
